,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1924,CURI,financial,CuriosityStream,421561791,Small,ModerateBuy,42410642.95774648
1925,GSCCF,basicmaterials,ioneer,421353110,Small,,1685412440.0
1926,JMXXF,basicmaterials,Jupiter Mines,421183072,Small,,1914468509.090909
1927,MBWM,financial,Mercantile Bank,421099480,Small,Hold,16233595.990747878
1928,DEH,financial,D8 Holdings,420037500,Small,,43125000.0
1929,AOIFF,utilities,Africa Oil,420035327,Small,ModerateBuy,471949805.6179775
1930,ECOM,technology,ChannelAdvisor,419922172,Small,ModerateBuy,29000150.0
1931,AMAL,financial,Amalgamated Bank,419789578,Small,ModerateBuy,31049525.0
1932,LSF,consumergoods,Laird Superfood,419693548,Small,StrongBuy,8874889.997885387
1933,MDRPF,basicmaterials,Midas Gold,419171059,Small,Hold,476330748.8636364
1934,MOV,consumergoods,Movado Group,418652995,Small,Hold,23181228.959025472
1935,LFHLF,financial,Lai Fung Holdings,418393168,Small,,
1936,DOCOF,services,DO & CO Aktiengesellschaft,418363512,Small,ModerateBuy,
1937,XNGIF,unknownsector,Xingda International Holdings,418283408,Small,,1742847533.3333335
1938,BBDC,financial,Barings BDC,418226486,Small,ModerateBuy,47961752.98165137
1939,TITN,industrialgoods,Titan Machinery,417543920,Small,StrongBuy,22533400.97139773
1940,UFFRF,financial,UNIFIN Financiera SAB de CV SOFOM ENR,417018290,Small,,
1941,ONEW,consumergoods,OneWater Marine,416612790,Small,ModerateBuy,14975297.98705967
1942,AGLE,healthcare,Aeglea Biotherapeutics,416573459,Small,StrongBuy,47937106.90448792
1943,RYAM,basicmaterials,Rayonier Advanced Materials,416176433,Small,ModerateBuy,63344966.97108067
1944,BNFT,technology,Benefitfocus,416040537,Small,StrongBuy,32201279.95356037
1945,TNMAF,basicmaterials,TENMA,415051663,Small,,
1946,ITRN,technology,Ituran Location And Control,414810865,Small,,23475430.956423312
1947,BFST,financial,Business First Bancshares,414584774,Small,Hold,20667236.9890329
1948,AMOT,technology,Allied Motion Technologies,414116533,Small,,9757693.991517438
1949,NBR,industrialgoods,Nabors Industries,413935351,Small,ModerateSell,7294014.995594714
1950,MSBI,financial,Midland States Bancrop,413927848,Small,,22471652.985884905
1951,GENTF,consumergoods,G5 Entertainment AB,412734000,Small,,10313193.40329835
1952,CCBG,financial,Capital City Bank,412667243,Small,,16761463.972380178
1953,IMMVF,healthcare,Immunovia AB,411894774,Small,,20594738.7
1954,BRPHF,financial,Galaxy Digital Holdings,411889413,Small,,84403568.23770492
1955,DX,financial,Dynex Capital,411511094,Small,StrongBuy,23144605.96175478
1956,OICT,financial,Oicintra,411332000,Small,,411332000.0
1957,TLGRF,basicmaterials,Talga Resources,410933667,Small,,265118494.83870968
1958,MTL,basicmaterials,Mechel Steel Group Oao,410888819,Small,,272111800.66225165
1959,RVP,healthcare,Retractable Technologies,410871738,Small,,33816603.95061728
1960,SRLP,industrialgoods,Sprague Resources,410826135,Small,Hold,22938365.996649917
1961,EVI,industrialgoods,EVI Industries,410547281,Small,,11934513.98255814
1962,TPVG,financial,TriplePoint Venture Growth,410316713,Small,ModerateBuy,30827701.953418482
1963,HDIUF,industrialgoods,Hardwoods Distribution,410013665,Small,StrongBuy,
1964,MCHHF,unknownsector,Macmahon Holdings,409447305,Small,,2154985815.7894735
1965,UBLXF,technology,u-blox Holding AG,409273501,Small,Hold,
1966,KALA,healthcare,Kala Pharmaceuticals,409237014,Small,StrongBuy,56059864.93150685
1967,CPE,utilities,Callon,409054994,Small,Hold,39752671.91448008
1968,IPHA,healthcare,Innate Pharma,409026863,Small,StrongBuy,78962714.86486487
1969,IPHYF,healthcare,Innate Pharma SA,409026863,Small,Hold,78962714.86486487
1970,TTCF,financial,Tattooed Chef,408867551,Small,ModerateBuy,25650410.978670012
1971,PFLT,financial,Pennantpark Floating Rate,408657659,Small,ModerateBuy,38772073.90891841
1972,PCOFF,services,Pico Far East Holdings,408543334,Small,,
1973,NNAX,services,New Momentum,408322200,Small,,346035762.7118644
1974,TNK,industrialgoods,Teekay Tankers,408231530,Small,StrongBuy,33738142.97520661
1975,APTS,financial,Preferred Apartment Communities,408186539,Small,Hold,49900554.889975555
1976,NNDM,industrialgoods,Nano Dimension,408130079,Small,,71226889.87783594
1977,EOHDF,financial,Emeco Holdings,408041350,Small,,544055133.3333334
1978,AMYT,healthcare,Amryt Pharma,407664949,Small,ModerateBuy,32561098.1629393
1979,FXWZF,consumergoods,Fox-Wizel,407441452,Small,,
1980,THCB,financial,Tuscan Holdings,407390760,Small,,35487000.0
1981,SGU,utilities,Star Gas Partners,407322594,Small,,42341225.98752599
1982,GSS,basicmaterials,Golden Star Resources,407214678,Small,StrongBuy,111260840.98360655
1983,GCI,services,Gannett,406979822,Small,,137959261.69491524
1984,GLVNF,consumergoods,Gallant Venture,406863627,Small,,
1985,AOZOF,financial,Aozora Bank,406065254,Small,ModerateBuy,
1986,SLSSF,basicmaterials,Solaris Resources,405884809,Small,ModerateBuy,88621137.33624454
1987,PTGOF,services,PT Global Mediacom Tbk,405717794,Small,,
1988,OTCM,financial,OTC Markets Group,405512275,Small,,11669417.985611511
1989,DMS,financial,Digital Media Solutions,405240764,Small,ModerateBuy,58392040.9221902
1990,ZIXI,technology,Zix,405207787,Small,ModerateBuy,56991249.92967651
1991,NPTN,technology,NeoPhotonics,405183356,Small,ModerateBuy,50146454.95049505
1992,RMG,financial,RMG Acquisition,405087500,Small,,28750000.0
1993,FCBC,financial,First Community Bancshares,405017615,Small,Hold,17717305.993000876
1994,PEXXF,consumergoods,PT Tempo Scan Pacific Tbk,405000000,Small,,4500000000.0
1995,AUDGF,technology,Audinate Group,404853616,Small,,134951205.33333334
1996,CPLG,financial,CorePoint Lodging,404219193,Small,ModerateBuy,58161034.964028776
1997,NBEV,consumergoods,NewAge,403147608,Small,Hold,118225104.98533724
1998,RGP,services,Resources Connection,403145981,Small,,32433304.98793242
1999,SFTW,financial,Osprey Technology Acquisition,402428125,Small,,39531250.0
2000,DXPE,industrialgoods,DXP Enterprises,402248111,Small,ModerateBuy,17790716.98363556
2001,VPG,technology,Vishay Precision Group,401965402,Small,,13575325.97095576
2002,PDDTF,basicmaterials,Piedmont Lithium,401737000,Small,,1385300000.0
2003,VSEC,industrialgoods,VSE,401593194,Small,,11050995.982388552
2004,GRIF,financial,Griffin Land & Nurseries,401102711,Small,,5657301.988716502
2005,SMMC,financial,South Mountain Merger,400000000,Small,,31250000.0
2006,VIOT,consumergoods,Viomi Technology Co,399644471,Small,Hold,69745980.97731239
2007,MUX,basicmaterials,McEwen Mining,399642948,Small,ModerateBuy,407798926.53061223
2008,AXTI,technology,AXT,399371000,Small,StrongBuy,41300000.0
2009,ASPN,basicmaterials,Aspen Aerogels,399257291,Small,StrongBuy,26867919.98654105
2010,KKRAF,basicmaterials,Katakura Industries Co,398692047,Small,,
2011,NEWT,services,Newtek Business,398605402,Small,Hold,21781715.95628415
2012,RWWI,technology,Rand Worldwide,398542050,Small,,31883364.0
2013,HUIZ,financial,Huize Holding,398245560,Small,,51990281.9843342
2014,SPHRF,healthcare,Starpharma Holdings,397894907,Small,,406015211.2244898
2015,ARAY,healthcare,Accuray,397638356,Small,StrongBuy,91201457.79816513
2016,AIFIF,financial,Asia Financial Holdings,397623240,Small,,
2017,SMBMF,industrialgoods,Sembcorp Marine,397605617,Small,,3313380141.666667
2018,KMRCF,industrialgoods,Komori,397062778,Small,,55924334.92957747
2019,XENE,healthcare,Xenon,396983530,Small,ModerateBuy,35007365.9611993
2020,TXMD,healthcare,TherapeuticsMD,396974693,Small,ModerateBuy,296249770.89552236
2021,AGTEF,technology,AGTech Holdings,396859635,Small,,9921490875.0
2022,RTTO,consumergoods,Rito Group,396741387,Small,,56596488.873038515
2023,CIO,financial,City Office REIT,396649649,Small,ModerateBuy,43397116.95842451
2024,TMDX,healthcare,TransMedics Group,396547899,Small,ModerateBuy,27160815.0
2025,IBCP,financial,Independent Bank,396547049,Small,ModerateBuy,21884494.977924943
2026,CRD.A,financial,Crawford & Company A,396537254,Small,,53155127.882037535
2027,ASLEF,consumergoods,Asaleo Care,396479418,Small,,521683444.7368421
2028,MOFG,financial,Midwestone Financial Group,396291496,Small,,16096323.964256702
2029,QH,technology,Quhuo,396045908,Small,ModerateBuy,51906409.96068152
2030,DEUIF,financial,Deutsche Industrie REIT-AG,396043944,Small,,
2031,MTW,industrialgoods,Manitowoc Company,396041647,Small,Hold,34558607.940663174
2032,ALKEF,basicmaterials,Alkane Resources,395933552,Small,,599899321.2121211
2033,ELMFF,technology,ELMO Software,395786108,Small,,86416180.7860262
2034,SPNE,healthcare,SeaSpine Holdings,395430333,Small,StrongBuy,27633146.960167713
2035,KE,services,Kimball Electronics,395252503,Small,ModerateBuy,25143288.99491094
2036,ARA,healthcare,American Renal Associates Holdings,394899224,Small,Hold,34519162.93706294
2037,DMLP,utilities,Dorchester Minerals,394655828,Small,,34679773.989455186
2038,SXC,basicmaterials,Suncoke Energy,393148356,Small,ModerateBuy,82768074.94736843
2039,JPDYY,technology,Japan Display,393044009,Small,,82055116.70146137
2040,BKRP,utilities,Black Rock Petroleum Co,392762500,Small,,116201923.07692309
2041,DSPG,technology,DSP Group,392655727,Small,ModerateBuy,23597098.978365384
2042,WTRH,consumergoods,Waitr Holdings,391822812,Small,,110997963.73937678
2043,MLR,industrialgoods,Miller Industries,391321607,Small,,11405467.997668317
2044,MCS,services,Marcus,391099436,Small,ModerateBuy,31064291.97776013
