,ticker,sector,company_name,market_cap,market_category,analyst_consensus,stock_outstanding
1580,ADCT,healthcare,ADC Therapeutics,2738088547,Medium,ModerateBuy,76718647.99663772
1581,JPRRF,financial,Japan Prime Realty Investment,2737720250,Medium,ModerateBuy,
1582,BBBY,consumergoods,Bed Bath & Beyond,2736898516,Medium,ModerateBuy,126008218.96869245
1583,SEOTF,industrialgoods,Seino Holdings Co,2735311170,Medium,,182354078.0
1584,OUT,financial,Outfront Media,2734043885,Medium,StrongBuy,144429153.98837823
1585,NKNIF,healthcare,Nakanishi,2731208500,Medium,,
1586,ETHE,unknownsector,Grayscale Ethereum Trust (ETH),2730260210,Medium,,28278200.0
1587,GNNSF,healthcare,Genscript Biotech,2723450356,Medium,,1917922785.915493
1588,PACB,healthcare,Pacific Biosciences,2722224339,Medium,ModerateBuy,187223131.98074278
1589,EVTC,technology,Evertec,2721679306,Medium,ModerateBuy,71906982.98546895
1590,SHWDF,basicmaterials,Showa Denko KK,2719109310,Medium,,141472908.94901145
1591,MPCFF,financial,Metro Pacific Investments,2714464708,Medium,,
1592,CCU,consumergoods,Compania Cervecerias Unidas SA,2712151080,Medium,Hold,184751435.96730244
1593,PYOIF,industrialgoods,Promotora y Operadora de Infraestructura SA,2710953157,Medium,,
1594,GBT,healthcare,Global Blood Therapeutics,2709774025,Medium,ModerateBuy,61796442.98745724
1595,TRN,industrialgoods,Trinity Industries,2707912108,Medium,ModerateBuy,114161555.98650928
1596,CWH,consumergoods,Camping World Holdings,2702634024,Medium,ModerateBuy,88756453.99014778
1597,NENTF,services,Nordic Entertainment Group AB,2700635792,Medium,ModerateBuy,
1598,TCMFF,technology,Telecom Argentina SA,2692110013,Medium,,
1599,APG,financial,APi Group,2691237673,Medium,ModerateBuy,169794174.9526814
1600,AVA,utilities,Avista,2691012364,Medium,Hold,68735947.99489145
1601,CAIAF,financial,CA Immobilien Anlagen AG,2690406315,Medium,,
1602,NNI,financial,Nelnet,2686204439,Medium,ModerateBuy,38341484.99857265
1603,ABM,services,ABM Industries,2684822766,Medium,ModerateBuy,66687102.980625935
1604,CCOI,technology,Cogent Comms,2684347489,Medium,Hold,47251319.99647949
1605,MCRB,healthcare,Seres Therapeutics,2681785714,Medium,StrongBuy,91248237.97209935
1606,SNOTF,industrialgoods,Sinotrans,2681681284,Medium,,7057056010.526316
1607,MSLOF,industrialgoods,Mitsui OSKLines,2678919286,Medium,ModerateBuy,
1608,MGAWY,financial,Megaworld,2676043143,Medium,,166007639.14392057
1609,AHCO,financial,AdaptHealth,2674675874,Medium,StrongBuy,89633909.98659517
1610,BTSDF,consumergoods,Health and Happiness (H&H) International Holdings,2673170766,Medium,,
1611,NOFCF,basicmaterials,NOF,2667805576,Medium,,
1612,AMMHF,financial,AMMB Holdings Bhd,2666381067,Medium,,
1613,BICEY,consumergoods,Societe BIC,2665613349,Medium,ModerateBuy,89061588.67357166
1614,MMYT,services,Makemytrip,2663974201,Medium,ModerateBuy,103254813.99224806
1615,SCL,basicmaterials,Stepan Company,2661905017,Medium,ModerateBuy,22461437.99679352
1616,JTEKF,industrialgoods,JTEKT,2661440270,Medium,,
1617,NUS,consumergoods,Nu Skin,2657182243,Medium,ModerateBuy,51030962.99212598
1618,MBUMY,industrialgoods,Mabuchi Motor Co,2654875753,Medium,,236831021.67707402
1619,PDCO,healthcare,Patterson Companies,2653589160,Medium,Hold,96354000.0
